rule,direction,avg_return,sharpe_ratio,win_rate,min_return,profit_loss_ratio
max_30 < 0.0127347978 AND ma_diff_10_60 < 0.468952775 AND momentum < 0.468435258 AND volume_ma_30 < 0.289429605 AND money_flow_ma_30 < 0.0173705593,1,0.09996313066380795,2.2707892317934353,0.9508196721311475,-0.0078204692281536,12.901054487265636
max_7 < 0.0482855141 AND bias_30 < 0.521032274 AND avg_price_ma_5 < 0.0390155688 AND max_30 < 0.0127347978 AND skew_180 < 0.696865022,1,0.2642947426185072,2.158898180161429,0.9375,0.0417866178138359,
max_30 < 0.0127347978 AND ma_diff_10_60 < 0.468952775 AND momentum < 0.468435258 AND bias_10 < 0.577757776 AND money_flow_ma_30 < 0.00956855435,1,0.0968506972292185,2.148874128766529,0.9759036144578314,0.0061370610296624,
high < 0.0639210641 AND skew_60 < 0.0818073079 AND ma_diff_10_60 < 0.27708447,1,0.0646442630700308,2.0896896974622146,0.8761061946902655,0.0037593984962406,
avg_price_break_20 < 1 AND avg_price_ma_20 < 0.0260856189 AND rsi < 56.3794975 AND ma_360 < 0.390380532 AND ma_360 < 0.446178108,1,0.26912987764358726,1.9780777646324512,0.9512195121951219,0.0132046724225495,
avg_price_break_20 < 1 AND avg_price_ma_20 < 0.0260856189 AND rsi < 56.3794975 AND ma_360 < 0.390380532 AND min_180 < 0.383711815,1,0.26912987764358726,1.9780777646324512,0.9512195121951219,0.0132046724225495,
open < 0.022234574 AND rsi < 34.4615402 AND avg_price_ma_20 < 0.0344402418 AND return < -0.00194363459,1,0.1259591369202327,1.898610777817757,0.9285714285714286,0.0335381464413722,
close < 0.0227222592 AND money_flow_ma_10 < 0.604553461 AND ma_diff_10_360 < 0.877093017 AND skew_360 < 0.876767933 AND range_30 < 0.216191351,1,0.15677513474498828,1.8851371346132124,0.6666666666666666,0.0077041602465331,
max_30 < 0.0127347978 AND ma_diff_10_60 < 0.45444715 AND bias_10 < 0.530900836 AND money_flow_ma_10 < 0.15355216 AND volume_ma_10 < 0.0252125468,1,0.09047132135799336,1.8469354980337929,0.8525641025641025,-0.0165265707365721,6.448812218728135
avg_price_ma_20 < 0.0260856189 AND bias_30 < 0.391327292 AND min_7 < 0.145017177 AND ma_diff_10_180 < 0.370490253 AND bias_30 < 0.570185423,1,0.2623958852664075,1.8346101793202567,0.8768472906403941,-0.0269172168613509,9.80863813419872
