rule,direction,avg_return,sharpe_ratio,win_rate,min_return,profit_loss_ratio
high >= 0.850632906 AND volatility_60 < 0.154377818 AND return >= -0.0434134938 AND avg_price_ma_10 >= 0.846779227 AND max_60 >= 0.965053737,-1,0.05585584740585208,2.4752232210723863,0.5734265734265734,0.0106797762332598,
low >= 0.939699709 AND volume_return >= 0.00367067358 AND volatility_60 < 0.480219454 AND volatility_30 < 0.19096157,-1,0.05060858691215293,2.3860035485601547,1.0,0.0011463433589804,
ma_360 >= 0.000653580704 AND avg_price_ma_20 < 0.9929142 AND kurt_60 >= 0.0246217661 AND ma_diff_30_60 < 0.966395795 AND avg_price_ma_5 < 0.0142260781,1,0.29461297260425,2.217449666940272,0.8129496402877698,-0.0203045685279187,17.26532461386334
high < 0.0639210641 AND max_60 >= 0.0722191483 AND max_60 < 0.140000001 AND volume_ma_diff_180_360 >= 0.317871213 AND money_flow_ma_30 >= 0.0154897571,1,0.22729765489796638,2.1620273166860278,0.96045197740113,-0.0031377470975839,72.87176121960611
high < 0.0639210641 AND skew_60 < 0.0818073079 AND ma_diff_10_60 < 0.27708447,1,0.0646442630700308,2.0896896974622146,0.8761061946902655,0.0037593984962406,
max_7 < 0.0282129794 AND bias_5 >= 0.496036112 AND ma_diff_10_30 < 0.546803772 AND ma_diff_60_180 < 0.435530573 AND volatility_180 >= 0.0225715525,1,0.10136614423382266,1.894832500561502,0.7126436781609196,0.0116190957312452,
avg_price_ma_20 >= 0.930136561 AND kurt_60 < 0.227326632 AND skew_60 >= 0.64685452 AND volatility_60 < 0.351641446 AND skew_30 >= 0.243274882,-1,0.05680750075791146,1.8748289603865034,0.35185185185185186,-0.002536997885835,38.34482802347874
min_7 >= 0.913580239 AND liquidity_10 >= 0.158032551 AND kurt_60 < 0.126946121 AND skew_180 >= 0.375280619 AND close >= 0.95363754,-1,0.11293719467515878,1.8592283338467535,0.6274509803921569,0.0190683079893796,
min_7 >= 0.924778759 AND ma_diff_10_60 < 0.91883719 AND avg_price_break_20 >= 1 AND kurt_60 >= 0.00689775078 AND range_30 < 0.194112241,-1,0.05117291051345063,1.8586876640174432,0.8492462311557789,-0.0104739336492891,9.027120206702355
avg_price_break_5 < 1 AND avg_price_5 < 0.0222906042 AND bias_10 < 0.528859138 AND volatility_10 >= 0.0673379228 AND volume_ma_diff_10_180 < 0.18743822,1,0.15969569111322793,1.8322983819613883,0.7931034482758621,0.0038495706248149,
volatility_60 >= 0.0272399038 AND high < 0.0639210641 AND liquidity_10 < 0.427224606 AND volume_ma_30 < 0.0364592485 AND liquidity_10 < 0.0434257016,1,0.07938562350048244,1.820999726471031,0.9595959595959596,-0.0012162490878131,65.9684476383338
low >= 0.924863398 AND range_7 < 0.0876923054 AND volatility_30 < 0.195531458,-1,0.05904002790823811,1.8178838324235311,0.8842975206611571,-0.0093347232752084,6.39323122014093
low >= 0.939699709 AND skew_60 >= 0.275359392 AND skew_60 < 0.578812361 AND ma_diff_30_60 >= 0.389501214 AND volume_ma_30 < 0.490405113,-1,0.0845650634901325,1.813561044790007,0.9613733905579399,0.0114333519241494,
ma_5 < 0.952868581 AND avg_price_ma_20 < 0.0260856189 AND bias_30 < 0.391327292 AND max_60 < 0.326668918 AND open_interest >= 0.512089252,1,0.25662363469417854,1.7995928499203437,0.8412698412698413,-0.0269172168613509,9.633185693889942
max_7 < 0.0482855141 AND bias_30 < 0.521032274 AND avg_price_ma_5 < 0.0390155688 AND bias_5 >= 0.513118804 AND avg_price_ma_20 < 0.0260856189,1,0.09312720039794865,1.7986498362297372,0.7391304347826086,-0.0224045440201956,4.217287230033902
avg_price_ma_20 < 0.0176488459 AND return < -0.00368731562 AND bias_30 < 0.57682097 AND return < -0.00460122712 AND skew_180 >= 0.23570019,1,0.2839335295266851,1.7645912220790034,0.9245283018867925,-0.0138248847926267,20.977406771187344
avg_price_ma_20 >= 0.930136561 AND skew_60 < 0.656297207 AND liquidity_10 < 0.155068859 AND volume_ma_60 < 0.00998134725 AND volume_ma_30 < 0.00214321841,-1,0.06859364744123293,1.764426741532086,0.9738562091503268,-0.011504424778761,10.731585763740341
volatility_60 >= 0.0272399038 AND close < 0.0746237859 AND turnover_rate >= 0.716463089 AND ma_60 < 0.125005186 AND ma_diff_10_30 < 0.436570942,1,0.24165284713328378,1.7579823251958893,0.8026315789473685,-0.0640024976584452,6.114780005461051
max_30 < 0.0127347978 AND skew_60 < 0.237666905 AND bias_30 < 0.418650627,1,0.08135811104273093,1.6979935912891109,0.6744186046511628,0.0067761271826948,
min_7 >= 0.924778759 AND range_30 < 0.734697998 AND ma_diff_30_60 < 0.629551649 AND volume_ma_10 < 0.123985402 AND liquidity_30 < 0.317312986,-1,0.05584509121016171,1.6851949811506268,0.8789808917197452,-0.0178847807394668,6.596600652297812
avg_price_break_5 < 1 AND ma_30 < 0.0633474663 AND price_volume_ratio < 0.224781796 AND bias_10 < 0.297962636 AND kurt_180 < 0.557573974,1,0.2031135992042586,1.6824606144618737,0.6542056074766355,-0.0574132492113564,6.302862497358735
max_7 < 0.0282129794 AND bias_5 < 0.496036112 AND volume_ma_diff_10_360 >= 0.090860717,1,0.25120910164182525,1.653397821614575,0.9037037037037037,-0.0269172168613509,14.053534086090874
max_60 < 0.111018598 AND min_7 < 0.547358274 AND ma_diff_30_60 < 0.325278461 AND volume_ma_diff_30_60 < 0.421340734 AND volatility_60 < 0.0463683009,1,0.07413031919553764,1.6354898302853937,0.7696629213483146,-0.0343623868222973,3.7753056178866418
max_7 < 0.0282129794 AND volatility_180 >= 0.0715781674 AND skew_7 >= 0.297986984 AND skew_30 >= -0.681737721 AND turnover_rate < 0.802742779,1,0.18504530451856735,1.6245013549097236,0.6956521739130435,0.0126582278481012,
max_7 < 0.0282129794 AND volatility_180 >= 0.0341044664 AND kurt_30 >= -1.76278698 AND skew_7 >= 0.297986984 AND turnover_rate < 0.790968835,1,0.19449637112478516,1.6103772903138278,0.7,0.0126582278481012,
min_7 >= 0.924778759 AND volatility_30 < 0.463939995 AND volatility_30 < 0.183474943 AND volume_ma_30 < 0.23074998 AND volume < 0.0458332077,-1,0.061697266824571946,1.5959346441279791,0.928395061728395,-0.0129833474456675,19.66152512741574
